Art/Deco Europe associatedWithRegion
Art/Deco United/States associatedWithCountry
Art/Deco Jazz/Age associatedWith
Art/Deco Roaring/Twenties associatedWith
Tutankhamen Egypt locatedIn
Art/Deco French influencedBy
Art/Deco Classical influencedBy
Art/Nouveau Art/Deco seeAlso
Art/Nouveau Art/Deco associatedWith
Art/Deco Art/Nouveau influencedBy
Paul/Iribe Art/Deco influencedBy
Pierre/Legrain Art/Deco influencedBy
Jacques/Doucet Art/Deco influencedBy
Raoul/Dufy Art/Deco influencedBy
Paul/Poiret Art/Deco influencedBy
Paul/Iribe Art/Deco associatedWith
Pierre/Legrain Art/Deco associatedWith
Jacques/Doucet Art/Deco associatedWith
Raoul/Dufy Art/Deco associatedWith
Paul/Poiret Art/Deco associatedWith
Lafayette Paris locatedIn
Le/Bon Paris locatedIn
Printemps Paris locatedIn
Art/Deco United/States associatedWith
Art/Deco Paris associatedWith
Paris France associatedWith
Universal/Exposition Paris locatedIn
Soci World/War/One influencedBy
Art/Deco Exposition/Internationale/des/Arts associatedWith
Exposition/Internationale/des/Arts Paris locatedIn
Pierre/Patout Deco associatedWith
Ruhlmann Grand-Salon creatorOf
Grand-Salon Art/Deco influencedBy
Ruhlmann Art/Deco influencedBy
Ruhlmann Jean/Dunand associatedWith
Jean/Dunand Jean/Lambert-Rucki associatedWith
Ruhlmann Jean/Lambert-Rucki associatedWith
Jean/Dunand Art/Deco associatedWith
Jean/Dunand Art/Deco influencedBy
Paul/Gauguin Paul/Cezanne associatedWith
Paul/Gauguin Puvis/de/Chavannes associatedWith
Paul/Gauguin Odilon/Redon associatedWith
Paul/Gauguin Henri/de/Toulouse-Lautrec associatedWith
Paul/Cezanne Puvis/de/Chavannes associatedWith
Paul/Cezanne Odilon/Redon associatedWith
Paul/Cezanne Henri/de/Toulouse-Lautrec associatedWith
Puvis/de/Chavannes Odilon/Redon associatedWith
Puvis/de/Chavannes Henri/de/Toulouse-Lautrec associatedWith
Odilon/Redon Henri/de/Toulouse-Lautrec associatedWith
Henri/Matisse Andre/Derain associatedWith
Matisse Art/Deco influenced
Robert Sonia/Delaunay associatedWith
Sonia/Delaunay Simultan creatorOf
Serge/Diaghilev Bakst associatedWith
Serge/Diaghilev Paris associatedWith
Bakst Paris associatedWith
Art/Deco Cubist influencedBy
Bakst Cubist influencedBy
Groult Art/Deco influencedBy
Henri/Matisse African influencedBy
Pablo/Picasso African influencedBy
Henri/Matisse Art/Deco associatedWith
Pablo/Picasso Art/Deco associatedWith
Henri/Matisse Pablo/Picasso associatedWith
A./M./Cassandre Normandie depictorOf
A./M./Cassandre Art/Deco influencedBy
Le/Corbusier Walter/Gropius associatedWith
Le/Corbusier Art/Deco influencedBy
Walter/Gropius Art/Deco influencedBy
Bauhaus Art/Deco associatedWith
Le/Corbusier Pierre/Jeanneret associatedWith
Le/Corbusier Charlotte/Perriand associatedWith
Pierre/Jeanneret Charlotte/Perriand associatedWith
Le/Corbusier Bauhaus influencedBy
Pierre/Jeanneret Bauhaus influencedBy
Charlotte/Perriand Bauhaus influencedBy
Art/Deco Great/Depression influencedBy
Chrysler/Building Art/Deco influencedBy
Empire/State/Building Art/Deco influencedBy
Chrysler/Building New/York/City locatedIn
Empire/State/Building New/York/City locatedIn
Hugo/Ball Pirmasens originatedIn
Hugo/Ball Cabaret/Voltaire founderOf
Hugo/Ball Tristan/Tzara associatedWith
Tristan/Tzara Cabaret/Voltaire founderOf
Hugo/Ball Dada founderOf
Tristan/Tzara Dada founderOf
Dada Zurich originatedIn
Hugo/Ball Zurich associatedWith
Tristan/Tzara Zurich associatedWith
Cabaret/Voltaire Zurich locatedIn
Ball Emmy/Hennings hadIntimateRelationshipWith
Ball Munich associatedWith
Ball Berlin associatedWith
Ball World/War associatedWith
Ball Germany associatedWith
Emmy/Hennings Germany associatedWith
Ball Dada associatedWith
Ball Catholic hasReligion
Ball Ticino associatedWith
Ball Der/Pfälzerwald contributedTo
Ball University/of/Munich studiedAt
Ball Nietzsche influencedBy
Ball Nietzsche depictorOf
Ball Munich associatedWith
Ball Berlin associatedWith
Ball Wassily/Kandinsky influencedBy
Ball Wassily/Kandinsky associatedWith
Ball Zurich associatedWith
Die/Nase/des/Michelangelo Germany associatedWith
Ball Expressionist associatedWith
Ball Expressionist influenced
Ball Hans/Leybold associatedWith
Ball Ha/Hu/Baley hasAlias
Ball Klarinetta/Klaball hasAlias
Ball Klabund associatedWith
Ball Marietta/di/Monaco associatedWIth
Ball Hennings knew
Ball Switzerland associatedWith
Ball Cabaret/Voltaire founderOf
Hennings Cabaret/Voltaire founderOf
Cabaret/Voltaire Dada associatedWith
Ball Dada associatedWith
Ball Dada influenced
Ball Dada founderOf
Ball Dada influencedBy
Sound/Poem/`/Karawane Cabaret/Voltaire originatedIn
Sound/Poem/`/Karawane Dada/Almanach.jpegHugo/Ball/'s/Sound/Poem/`/Karawane appearedIn
Sound/Poem/`/Karawane International/Dada/Archive locatedIn
Sound/Poem/`/Karawane University/of/Iowa/Libraries locatedin
Sound/Poem/`/Karawane Dada influencedBy
Dada/Almanach.jpegHugo/Ball/'s/Sound/Poem/`/Karawane Dada associatedWith
Flametti Cabaret/Voltaire depictorOf
Flametti Maxim/Ensemble depictorOf
Cabaret/Voltaire Maxim/Ensemble associatedWith
Ball Hennings hadIntimateRelationshipWith
Ball Agnuzzo associatedWith
Hennings Agnuzzo associatedWith
Ball German/Intelligentsia depictorOf
Ball Germany depictorOf
Ball Luther depictorOf
Ball French/Revolution depictorOf
Die/Folgen/der/Reformation Catholic associatedWith
Ball Agnuzzo depictorOf
Ball Hermann/Hesse associatedWith
Ball Die/Flucht creatorOf
Ball Flight/Out/of/Time creatorOf
Flight/Out/of/Time Zurich/Dada influenced
Ball Zurich/Dada influenced
Hugo/Ball Vom/Dandysmus/der/Armen creatorOf
Hugo/Ball Dada/Diary creatorOf
Hugo/Ball Sämtliche/Werke creatorOf
Hugo/Ball Flametti creatorOf
Hugo/Ball The/Dandyism/of/the/Poor creatorOf
Hugo/Ball Tenderenda/der/Phantast creatorOf
Sergei/Diaghilev Russian hasNationality
Ballets/Russes Sergei/Diaghilev foundedBy
Sergei/Diaghilev Ballets/Russes founderOf
Richard/Wagner Diaghilev influence
Diaghilev Richard/Wagner influencedBy
Ballets/Suedois Rolf/de/Mare foundedBy
Rolf/de/Mare Ballets/Suédois founderOf
Ballets/Suedois Ballets/Russes influencedBy
Ballets/Russes Ballets/Suédois influencedBy
Diaghilev Venice travelledTo
Diaghilev Rolf/de/Maré influencedBy
Rolf/de/Mare Diaghilev influencedBy
Colonel/de/Basil Diaghilev influencedBy
Diaghilev Colonel/de/Basil influenced
Salon Paris locatedIn
Ballets/Russes Russian hasNationality
Ballets/Russes Western/Europe performedIn
Ballets/Russes Americas performedIn
Ballets/Russes Australia peformedIn
Diaghilev Gesamtkunstwerk influencedBy
Lev/Bakst Mir memberOf
Alexandre/Benois Mir memberOf
Alexander/Golovin Mir memberOf
Nikolai/Riurikh Mir memberOf
Mikhail/Fokine Russian hasNationality
Vaslav/Nijinsky Russian hasNationality
Diaghilev Lev/Bakst associatedWith
Diaghilev Alexandre/Benois associatedWith
Diaghilev Alexander/Golovin associatedWith
Diaghilev Nikolai/Riurikh associatedWith
Diaghilev Mikhail/Fokine associatedWith
Diaghilev Vaslav/Nijinsky associatedWith
Diaghilev Mir associatedWith
Igor/Stravinsky Diaghilev associatedWith
Diaghilev Igor/Stravinsky associatedWith
Igor/Stravinsky Ballets/Russes influenced
Bakst L’après-midi/d’un contributedTo
Bakst Schéhérezade contributedTo
Les/Sylphides Lac/des/Cygnes associatedWith
Schéhérezade L’après-midi/d’un associatedWith
Natalia/Goncharova Russian hasNationality
Natalia/Goncharova Diaghilev associatedWith
Diaghilev Natalia/Goncharova associatedWith
NEO-PRIMITIVISM Diaghilev influenced
Fokine Nijinsky associatedWith
Nijinsky Fokine associatedWith
Leonid/Massine Fokine associatedWith
Fokine Leonid/Massine associatedWith
Leonid/Massine Nijinsky associatedWith
Nijinsky Leonid/Massine associatedWith
Massine Diaghilev associatedWith
Diaghilev Massine asssociatedWith
Mikhail/Larionov Soleil contributedTo
Picasso Soleil contributedTo
Cubist Soleil influencedBy
Giacomo/Balla Stravinsky associatedWith
Stravinsky Giacomo/Balla associatedWith
Marie/Laurencin Francis/Poulenc associatedWith
Francis/Poulenc Marie/Laurencin associatedWith
Picasso Chanel associatedWith
Chanel Picasso associatedWith
Picasso Darius/Milhaud associatedWith
Darius/Milhaud Picasso associatedWith
Chanel Darius/Milhaud associatedWith
Darius/Milhaud Chanel associatedWith
Yakulov Prokofiev associatedWith
Prokofiev Yakulov associatedWith
Yakulov Soviet/Union/Le depictorOf
Soviet/Union/Le Yakulov depictedBy
Prokofiev Soviet/Union/Le depictorOf
Soviet/Union/Le Prokofiev depictedBy
Ford/Madox/Ford Saddest/Story creatorOf
Rebecca/West Indissoluble/Matrimony creatorOf
Saddest/Story Ford/Madox/Ford createdBy
Indissoluble/Matrimony Rebecca/West createdBy
Kate/Lechmere Rebel/Art/Centre financerOf
Lewis Vorticism influenced
Vorticism Lewis influencedBy
Lewis Expressionist associatedWith
Lewis Spencer/Gore depictorOf
Spencer/Gore Lewis depictedBy
Saddest/Story Good/Soldier associatedWith
Rebecca/West Indissoluble/Matrimony creatorOf
Edward/Wadsworth Wassily/Kandinsky depcitorOf
Pound Vorticist influenced
Lewis Vorticist influenced
Gaudier-Brzeska Vorticist influenced
Vorticist Pound influencedBy
Vorticist Lewis influencedBy
Vorticist Gaudier-Brzeska influencedBy
Lewis Tarr creatorOf
Tarr Lewis createdBy
Poetry Tarr publisherOf
The/Egoist Tarr publisherOf
Poetry Lewis publisherOf
The/Egoist Lewis publisherOf
Tarr Poetry publishedBy
Tarr The/Egoist publishedBy
Lewis The/Egoist publishedBy
Lewis The/Egoist publishedBy
Guillaume/Apollinaire Vorticists associatedWith
Lewis Vorticists influencedBy
Lewis Vorticists memberOf
Vorticist Jonathan/Swift influencedBy
Vorticist William/Shakespeare influencedBy
Vorticist French/Revolution influencedBy
French/Revolution Vorticist influenced
William/Shakespeare Vorticist influenced
Jonathan/Swift Vorticist influenced
Vorticism Marinetteism influencedByDegreeDirect
Futurist Vorticist influenced
Vorticist Futurist influencedBy
Italian/Futurism Vorticism influencedByDegreeDirect
Futurism Lewis influenced
Lewis Futurism influencedBy
Lewis Vorticism influenced
Lewis Cubism influenced
Lewis Expressionism influenced
Lewis Futurism influenced
Lewis Vorticism influencedBy
Lewis Cubism influencedBy
Lewis Futurism influencedBy
Lewis Expressionism influencedBy
Picasso Lewis influencedDegreeDirect
Futurists Lewis influenced
Cubism Impressionism associatedWith
Lewis Cubism influenced
Lewis Impressionism influenced
Lewis Kandinsky depictorOf
Kandinsky Lewis depictedBy
Kandinsky Lewis influenced
Lewis Cubism influencedBy
Lewis Impressionism influencedBy
Lewis Cubism depictorOf
Lewis Impressionism depictorOf
Lewis Expressionism depictorOf
Lewis Expressionism influencedBy
Lewis Futurism depictorOf
Lewis Futurism influencedBy
Ford Saddest/Story creatorOf
Saddest/Story Ford createdBy
Gaudier-Brzeska Lewis associatedWith
Lewis Pound associatedWith
Gaudier-Brzeska Pound associatedWith
Ford Gaudier-Brzeska associatedWith
Ford Lewis associatedWith
Ford Pound associatedWith
Enemy/of/the/Stars Vorticist influencedBy
Lewis Vorticist associatedWith
Max/Stirner Vorticism influenced
Max/Stirner Lewis influenced
Lewis Vorticist influenced
God/of/Sport/and/Blood Constantinople/Our/Star associatedWith
Constantinople/Our/Star God/of/Sport/and/Blood associatedWith
Ford Lewis associatedWith
Lewis Crowd-Master creatorOf
Lewis T./S./Eliot associatedWith
Lewis Ford associatedWith
Lewis Dismorr associatedWith
Lewis First/World/War associatedWith
Lewis Saunders associatedWith
T./S./Eliot Ford associatedWith
T./S./Eliot Dismorr associatedWith
T./S./Eliot Saunders associatedWith
Ford Dismorr associatedWith
Ford First/World/War associatedWith
Ford Saunders associatedWith
First/World/War Saunders associatedWith
Lewis The/Caliph creatorOf
Vorticism Malcolm/Arbuthnot foundedBy
Vorticism Lawrence/Atkinson foundedBy
Vorticism Cuthbert/Hamilton foundedBy
Malcolm/Arbuthnot Vorticism founderOf
Lawrence/Atkinson Vorticism founderOf
Cuthbert/Hamilton Vorticism founderOf
Vorticism Dismorr influenced
Vorticism Vorticism influenced
Marshall/McLuhan Vorticist influencedBy
Vorticist Marshall/McLuhan influenced
Mick/Sheridan BAST creatorOf
Vorticist BAST influenced
BAST Vorticist influencedBy
Vorticist Mick/Sheridan influenced
Charles/Baudelaire Les/Fleurs creatorOf
Les/Fleurs Charles/Baudelaire createdBy
Charles/Baudelaire Spleen/de/Paris creatorOf
Spleen/de/Paris Charles/Baudelaire createdBy
Charles/Baudelaire Le/Peintre/de creatorOf
Le/Peintre/de Charles/Baudelaire createdBy
Charles/Pierre/Baudelaire Paris originatedIn
Charles/Pierre/Baudelaire Joseph-François/Baudelaire associatedWith
Joseph-François/Baudelaire Charles/Pierre/Baudelaire associatedWith
Charles/Pierre/Baudelaire Archembaut/Defayis associatedWith
Archembaut/Defayis Charles/Pierre/Baudelaire associatedWith
Joseph-François/Baudelaire Caroline associatedWith
Caroline Joseph-François/Baudelaire associatedWith
Jacques/Aupick Empire associatedWith
Empire Jacques/Aupick associatedWith
Latin Paris locatedIn
Jeanne/Duval Vénus/Noire hasAlias
Vénus/Noire Jeanne/Duval aliasOf
Poemes/en/Prose Brussels originatedIn
Baudelaire Parnasse influencedBy
Parnasse Baudelaire associatedWith
Parnasse Romanticism influencedBy
Romanticism Parnasse associatedWith
Parnasse Romanticism influencedBy
Parnasse Vigny associatedWith
Vigny Parnasse associatedWith
Parnasse Lamartine associatedWith
Lamartine Parnasse associatedWith
Parnasse Sainte-Beuve associatedWith
Sainte-Beuve Parnasse associatedWith
Vigny Romanticism influencedBy
Lamartine Romanticism influencedBy
Sainte-Beuve Romanticism influencedBy
Vigny Lamartine associatedWith
Lamartine Vigny associatedWith
Vigny Sainte-Beuve associatedWith
Sainte-Beuve Vigny associatedWith
Vigny Sainte-Beuve associatedWith
Sainte-Beuve Vigny associatedWith
Baudelaire `/War/Number associatedWith
`/War/Number Baudelaire associatedWith
Courbet Daumier associatedWith
Daumier Courbet associatedWith
Courbet Delacroix associatedWith
Delacroix Courbet associatedWith
Courbet Manet associatedWith
Manet Courbet associatedWith
Daumier Delacroix associatedWith
Delacroix Daumier associatedWith
Daumier Manet associatedWith
Manet Daumier associatedWith
Delacroix Manet associatedWith
Manet Delacroix associatedWith
Weimar Thuringia locatedIn
Thuringia Weimar locationOf
Thuringia Germany locatedIn
Germany Thuringia locationOn
Weimar Germany locatedIn
Germany Weimar locationOf
Bauhaus Weimar associatedWith
Weimar Bauhaus assocatedWith
Bauhaus Dessau associatedWith
Dessau Bauhaus associatedWith
Weimar Dessau associatedWith
Dessau Weimar associatedWith
Bauhaus Walter/Gropius associatedWith
Walter/Gropius Bauhaus associatedWith
Bauhaus Hannes/Meyer associatedWith
Hannes/Meyer Bauhaus associatedWith
Bauhaus Mies/van/der/Rohe associatedWith
Mies/van/der/Rohe Bauhaus associatedWith
Lyonel/Feininger Vassily/Kandinsky associatedWith
